"ID","Nazwa","Lokalizacja","Tagi","Zdjęcie"
"0001","Moduł 2x przekaźnik HL-525 V1.0, 5V","Regał czerwony","elektronika,moduł,przekaźnik,5v","./data/0001_0.jpg"
"0002","Wyświetlacz 2x16, 1602A","Regał czerwony","moduł,wyświetlacz,LCD,elektronika","./data/0002_0.jpg"
"0003","Serwomechanizm SG90","Regał czerwony","elektronika,serwomechanizm,elektromechanika","./data/0003_0.jpg"
"0004","Termometr wodoodporny DS18B20","Regał czerwony","elektronika,moduł,termometr,one wire","./data/0004_0.jpg"
"0005","Złącza kołkowe, 2 pin, 3 pin, różne typy","Regał czerwony","elektronika,złącze,tht,2 pin, 3 pin","./data/0005_0.jpg"
"0006","Napęd z kołami","Regał czerwony","robotyka,elektronika,silnik,koła","./data/0006_0.jpg"
"0007","Koszyki na baterię AA oraz 9V, zamykane z włącznikiem","Regał czerwony","baterie,koszyk,włącznik","./data/0007_0.jpg"
"0008","Koszyki na baterie AA, AAA","Regał czerwony","baterie,koszyk","./data/0008_0.jpg"
"0009","Baterie alkaiczne AA","Regał czerwony","baterie, AA","./data/0009_0.jpg"
"000a","Multimetr UNI-T UT61C","Regał czerwony","multimetr,narzędzia,metrologia,priv:mroz","./data/000a_0.jpg"
"000b","Multimetr UNI-T UT70A","Regał czerwony","miltimetr,metrologia,narzędzia,priv:None","./data/000b_0.jpg"
"000c","Multimetr Kyoritsu model 1009","Regał czerwony","multimetr,narzędzia,metrologia,narzędzia","./data/000c_0.jpg"
"000d","Multinarzędzie Digilent Analog Discovery","Regał czerwony","elektronika,metrologia,oscyloskop,generator przebiegów,analizator logiczny,zasilacz,narzędzia,USB,priv:mroz","./data/000d_0.jpg"
"000e","Czytnik RFID-RC522, karty i tagi","Regał czerwony","elektronika,moduł,RFID","./data/000e_0.jpg"
"000f","Czujniki krańcowe różne, z odzysku","Regał czerwony","czujnik krańcowy,mechaniczne,fotoprzerywacz,z odzysku,moduły","./data/000f_0.jpg"
"0010","Zaciski stolarskie powerfix, małe","Regał czerwony","narzędzia,stolarka","./data/0010_0.jpg"
"0011","Stacja lutownicza Solomon SL-20","Stół warsztatowy","narzędzia,elektronika,priv:mroz","./data/0011_0.jpg"
"0012","Zestaw uruchomieniowy IDLAB","Regał z łóżek","zestaw uruchomieniowy,zdrowie,elektronika,prototyp","./data/0001_0.jpg"
"0013","Zestaw uruchomieniowy estiomote beacon, 5szt.","Regał z łóżek   ","BLE, elektronia,zestaw uruchomieniowy","./data/0001_0.jpg"
